[GAUGE],,,,,,,,,,
A-PIC2441,DEV2.D4560,1,0,0,100,kPaG,1,0,100,0
A-PV1791,DEV2.D4176,1,0,0,100,% ï¬,1,0,100,0
A-PV2441,DEV2.D4624,1,0,0,100,% ï¬,1,0,100,0
A-PdIA3502,DEV2.D5520,1,0,-1,1,MPaG,1,-1,1,0
A-QI3521A,DEV2.D5584,1,0,0,10,ppmO2,1,0,2,0
A-TI3521,DEV2.D5136,1,0,-100,100,Åé,1,-100,100,0
A-TI3522,DEV2.D5840,1,0,-200,100,Åé,1,-200,100,0
A-TIA2402,DEV2.D4368,1,0,0,300,Åé,1,0,300,0
A-TIC2401,DEV2.D4240,1,0,-50,100,Åé,1,-50,100,0
A-TIC2403,DEV2.D4432,1,0,-50,100,Åé,1,-50,100,0
A-TIC2441,DEV2.D4688,1,0,0,300,Åé,1,0,300,0
A-WI0000,DEV2.D5776,1,0,0,320,kWh,1,0,320,0
ZPLC_WRF000S1,DEV1.D61440,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF000S2,DEV2.D61440,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF001S1,DEV1.D61441,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF001S2,DEV2.D61441,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF002S1,DEV1.D61442,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF002S2,DEV2.D61442,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF003S1,DEV1.D61443,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF003S2,DEV2.D61443,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF004S1,DEV1.D61444,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF004S2,DEV2.D61444,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF005S1,DEV1.D61445,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF005S2,DEV2.D61445,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF006S1,DEV1.D61446,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF006S2,DEV2.D61446,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF007S1,DEV1.D61447,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF007S2,DEV2.D61447,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF010S1,DEV1.D61456,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF010S2,DEV2.D61456,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF011S1,DEV1.D61457,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF011S2,DEV2.D61457,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF012S1,DEV1.D61458,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF012S2,DEV2.D61458,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF013S1,DEV1.D61459,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF013S2,DEV2.D61459,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF015S1,DEV1.D61461,0,0,0,10000,,1,-500,10500,0
ZPLC_WRF015S2,DEV2.D61461,0,0,0,10000,,1,-500,10500,0
